1,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ002,"ΔΙΚΑΙΟΣΥΝΗ, ΔΙΚΑΙΟ, ΔΙΚΑΙΩΜΑ ΣΤΗ ΒΙΑ",2,3,ΕΕ,ΑΝΑΝΙΑΔΗΣ ΓΡΗΓΟΡΙΟΣ,002
2,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ006,ΜΕΘΟΔΟΛΟΓΙΑ ΕΜΠΕΙΡΙΚΗΣ ΕΡΕΥΝΑΣ -Ι-,1,3,ΕΕ,ΜΙΧΑΛΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ,002
3,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ011,"ΠΟΛΙΤΙΚΗ, ΟΙΚΟΝΟΜΙΑ, ΚΟΙΝΩΝΙΑ ΣΤΙΣ ΑΡΑΒΟΦΩΝΕΣ ΕΠΑΡΧΙΕΣ ΤΗΣ ΟΘΩΜΑΝΙΚΗΣ ΑΥΤΟΚΡΑΤΟΡΙΑΣ (1650-1920)",1,3,ΕΕ,ΚΟΥΤΣΗΣ ΑΛΕΞΑΝΔΡΟΣ,002
4,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ013,"ΙΣΤΟΡΙΑ, ΙΣΤΟΡΙΟΓΡΑΦΙΑ ΚΑΙ ΕΝΝΟΙΟΛΟΓΗΣΗ: ΠΑΡΑΔΟΣΗ ΚΑΙ ΝΕΟΤΕΡΙΚΟΤΗΤΑ ΣΤΟΝ ΕΛΛΗΝΙΚΟ ΙΘ΄ ΑΙΩΝΑ Ι",1,3,ΕΕ,ΘΕΟΤΟΚΑΣ ΝΙΚΟΛΑΟΣ,002
5,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ013,"ΙΣΤΟΡΙΑ, ΙΣΤΟΡΙΟΓΡΑΦΙΑ ΚΑΙ ΕΝΝΟΙΟΛΟΓΗΣΗ: ΠΑΡΑΔΟΣΗ ΚΑΙ ΝΕΟΤΕΡΙΚΟΤΗΤΑ ΣΤΟΝ ΕΛΛΗΝΙΚΟ ΙΘ΄ ΑΙΩΝΑ Ι",1,3,ΕΕ,ΚΟΤΑΡΙΔΗΣ ΝΙΚΟΛΑΟΣ,002
6,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ019,ΙΣΤΟΡΙΚΗ ΚΑΙ ΔΙΑΛΕΚΤΙΚΗ ΣΥΓΚΡΟΤΗΣΗ ΤΩΝ ΕΝΝΟΙΩΝ,1,3,ΕΕ,ΦΑΡΑΚΛΑΣ-ΜΑΤΟΡΙΚΟΣ ΓΕΩΡΓΙΟΣ,002
7,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ020,ΠΟΛΙΤΙΚΗ ΘΕΩΡΙΑ ΤΟΥ ΑΝΤΙΔΙΑΦΩΤΙΣΜΟΥ,2,3,ΕΕ,ΑΓΓΕΛΙΔΗΣ ΕΜΜΑΝΟΥΗΛ,002
8,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ026,"ΜΕΙΟΝΟΤΗΤΕΣ ΚΑΙ ΝΕΟΤΕΡΙΚΟΤΗΤΑ: ΕΛΛΑΔΑ, ΒΑΛΚΑΝΙΑ, ΕΥΡΩΠΗ",2,3,ΕΕ,ΧΡΙΣΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΗΣ (ΠΟΛ.Ε,002
9,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ031,ΑΠΟ ΤΗΝ ΟΘΩΜΑΝΙΚΗ ΑΥΤΟΚΡΑΤΟΡΙΑ ΣΤΟ ΤΟΥΡΚΙΚΟ ΕΘΝΟΣ-ΚΡΑΤΟΣ,2,3,ΕΕ,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ,002
10,ΜΕΤ,6,11,ΠΟΛΙΤΙΚΗ ΕΠΙΣΤΗΜΗ ΚΑΙ ΙΣΤΟΡΙΑ,MET,11Μ035,Ο ΕΜΦΥΛΙΟΣ ΣΤΗΝ ΕΛΛΑΔΑ: ΖΗΤΗΜΑΤΑ ΙΣΤΟΡΙΑΣ ΚΑΙ ΙΣΤΟΡΙΟΓΡΑΦΙΑΣ,2,3,ΕΕ,ΠΑΠΑΣΤΡΑΤΗΣ ΠΡΟΚΟΠΗΣ,002
